"cpv_code","cpv_label","level","division_code","division_label","parent_code","parent_label","category","related_concepts","embedding_text"
"03000000-1","Agricultural, farming, fishing, forestry and related products","2","03000000-1","Agricultural, farming, fishing, forestry and related products","","","Agricultural, farming, fishing, forestry and related products","agricultural; horticultural; cereals; potatoes; vegetables; fruits; nuts; farming; fishing; forestry","CPV code: 03000000-1
Label: Agricultural, farming, fishing, forestry and related products
Category: Agricultural, farming, fishing, forestry and related products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products
Related concepts: agricultural; horticultural; cereals; potatoes; vegetables; fruits; nuts; farming; fishing; forestry"
"03100000-2","Agricultural and horticultural products","3","03000000-1","Agricultural, farming, fishing, forestry and related products","03000000-1","Agricultural, farming, fishing, forestry and related products","Agricultural, farming, fishing, forestry and related products","crops; market; gardening; horticulture; horticultural; nursery; beverage; spice; agricultural","CPV code: 03100000-2
Label: Agricultural and horticultural products
Category: Agricultural, farming, fishing, forestry and related products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Agricultural and horticultural products
Related concepts: crops; market; gardening; horticulture; horticultural; nursery; beverage; spice; agricultural"
"03110000-5","Crops, products of market gardening and horticulture","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03100000-2","Agricultural and horticultural products","Agricultural and horticultural products","seeds; unmanufactured; tobacco; plants; used; sugar; manufacturing; straw; crops; market","CPV code: 03110000-5
Label: Crops, products of market gardening and horticulture
Category: Agricultural and horticultural products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Agricultural and horticultural products > Crops, products of market gardening and horticulture
Related concepts: seeds; unmanufactured; tobacco; plants; used; sugar; manufacturing; straw; crops; market"
"03120000-8","Horticultural and nursery products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03100000-2","Agricultural and horticultural products","Agricultural and horticultural products","horticultural; nursery","CPV code: 03120000-8
Label: Horticultural and nursery products
Category: Agricultural and horticultural products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Agricultural and horticultural products > Horticultural and nursery products
Related concepts: horticultural; nursery"
"03130000-1","Beverage and spice crops","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03100000-2","Agricultural and horticultural products","Agricultural and horticultural products","beverage; crops; unprocessed; spices; spice","CPV code: 03130000-1
Label: Beverage and spice crops
Category: Agricultural and horticultural products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Agricultural and horticultural products > Beverage and spice crops
Related concepts: beverage; crops; unprocessed; spices; spice"
"03140000-4","Animal products and related products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03100000-2","Agricultural and horticultural products","Agricultural and horticultural products","bulls; semen; animal; mixed; farming; agricultural","CPV code: 03140000-4
Label: Animal products and related products
Category: Agricultural and horticultural products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Agricultural and horticultural products > Animal products and related products
Related concepts: bulls; semen; animal; mixed; farming; agricultural"
"03200000-3","Cereals, potatoes, vegetables, fruits and nuts","3","03000000-1","Agricultural, farming, fishing, forestry and related products","03000000-1","Agricultural, farming, fishing, forestry and related products","Agricultural, farming, fishing, forestry and related products","cereals; potatoes; vegetables; fruits; nuts","CPV code: 03200000-3
Label: Cereals, potatoes, vegetables, fruits and nuts
Category: Agricultural, farming, fishing, forestry and related products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Cereals, potatoes, vegetables, fruits and nuts
Related concepts: cereals; potatoes; vegetables; fruits; nuts"
"03210000-6","Cereals and potatoes","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03200000-3","Cereals, potatoes, vegetables, fruits and nuts","Cereals, potatoes, vegetables, fruits and nuts","cereals; potatoes; dried; vegetables","CPV code: 03210000-6
Label: Cereals and potatoes
Category: Cereals, potatoes, vegetables, fruits and nuts
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Cereals, potatoes, vegetables, fruits and nuts > Cereals and potatoes
Related concepts: cereals; potatoes; dried; vegetables"
"03220000-9","Vegetables, fruits and nuts","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03200000-3","Cereals, potatoes, vegetables, fruits and nuts","Cereals, potatoes, vegetables, fruits and nuts","vegetables; fruit; nuts; fruits","CPV code: 03220000-9
Label: Vegetables, fruits and nuts
Category: Cereals, potatoes, vegetables, fruits and nuts
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Cereals, potatoes, vegetables, fruits and nuts > Vegetables, fruits and nuts
Related concepts: vegetables; fruit; nuts; fruits"
"03300000-2","Farming, hunting and fishing products","3","03000000-1","Agricultural, farming, fishing, forestry and related products","03000000-1","Agricultural, farming, fishing, forestry and related products","Agricultural, farming, fishing, forestry and related products","fish; crustaceans; aquatic; cattle; livestock; small; animals; farm; farming; hunting","CPV code: 03300000-2
Label: Farming, hunting and fishing products
Category: Agricultural, farming, fishing, forestry and related products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Farming, hunting and fishing products
Related concepts: fish; crustaceans; aquatic; cattle; livestock; small; animals; farm; farming; hunting"
"03310000-5","Fish, crustaceans and aquatic products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03300000-2","Farming, hunting and fishing products","Farming, hunting and fishing products","fish; crustaceans; aquatic","CPV code: 03310000-5
Label: Fish, crustaceans and aquatic products
Category: Farming, hunting and fishing products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Farming, hunting and fishing products > Fish, crustaceans and aquatic products
Related concepts: fish; crustaceans; aquatic"
"03320000-8","Cattle, livestock and small animals","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03300000-2","Farming, hunting and fishing products","Farming, hunting and fishing products","cattle; livestock; pigs; live; poultry; small; animals","CPV code: 03320000-8
Label: Cattle, livestock and small animals
Category: Farming, hunting and fishing products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Farming, hunting and fishing products > Cattle, livestock and small animals
Related concepts: cattle; livestock; pigs; live; poultry; small; animals"
"03330000-3","Farm animal products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03300000-2","Farming, hunting and fishing products","Farming, hunting and fishing products","fresh; milk; sheep; goats; wool; animal; hair; cows; farm","CPV code: 03330000-3
Label: Farm animal products
Category: Farming, hunting and fishing products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Farming, hunting and fishing products > Farm animal products
Related concepts: fresh; milk; sheep; goats; wool; animal; hair; cows; farm"
"03340000-6","Animal ear tags","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03300000-2","Farming, hunting and fishing products","Farming, hunting and fishing products","bovine; ear; tags; animal","CPV code: 03340000-6
Label: Animal ear tags
Category: Farming, hunting and fishing products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Farming, hunting and fishing products > Animal ear tags
Related concepts: bovine; ear; tags; animal"
